iter	Passed	Remaining
0	138	138686
1	139	69589
2	139	46521
3	140	34983
4	141	28064
5	141	23453
6	142	20171
7	142	17705
8	143	15801
9	144	14265
10	144	13009
11	145	11966
12	146	11127
13	147	10376
14	149	9830
15	150	9263
16	151	8748
17	152	8297
18	152	7885
19	153	7513
20	154	7186
21	154	6889
22	155	6607
23	156	6354
24	156	6118
25	157	5915
26	158	5721
27	159	5536
28	160	5367
29	161	5217
30	162	5066
31	163	4955
32	165	4840
33	166	4722
34	166	4601
35	168	4500
36	169	4399
37	170	4318
38	171	4232
39	173	4164
40	174	4081
41	175	3999
42	175	3916
43	176	3836
44	177	3760
45	177	3688
46	178	3626
47	180	3575
48	181	3513
49	181	3451
50	182	3392
51	183	3338
52	184	3295
53	185	3242
54	185	3190
55	186	3140
56	186	3091
57	187	3046
58	188	3008
59	189	2965
60	189	2923
61	190	2882
62	191	2842
63	191	2803
64	192	2767
65	193	2734
66	194	2702
67	194	2664
68	195	2633
69	196	2615
70	198	2596
71	199	2574
72	200	2545
73	201	2515
74	202	2492
75	202	2467
76	203	2441
77	204	2414
78	204	2388
79	205	2363
80	206	2340
81	207	2322
82	208	2298
83	208	2275
84	209	2250
85	209	2230
86	210	2211
87	211	2192
88	212	2173
89	213	2153
90	213	2133
91	214	2117
92	215	2098
93	215	2081
94	216	2064
95	217	2047
96	218	2030
97	218	2014
98	219	1999
99	220	1985
100	221	1973
101	222	1955
102	223	1942
103	223	1928
104	225	1922
105	226	1908
106	226	1893
107	227	1879
108	228	1865
109	228	1851
110	229	1841
111	230	1829
112	231	1816
113	232	1804
114	233	1793
115	234	1790
116	235	1779
117	236	1768
118	237	1757
119	238	1749
120	240	1744
121	240	1732
122	241	1718
123	241	1707
124	242	1696
125	242	1684
126	243	1674
127	244	1664
128	245	1656
129	245	1645
130	246	1635
131	247	1625
132	247	1614
133	248	1606
134	249	1597
135	249	1588
136	250	1578
137	251	1568
138	251	1559
139	252	1550
140	252	1540
141	253	1531
142	254	1525
143	255	1516
144	255	1507
145	256	1499
146	256	1490
147	257	1481
148	258	1475
149	258	1467
150	259	1460
151	260	1452
152	261	1444
153	261	1436
154	262	1428
155	262	1420
156	263	1413
157	263	1405
158	264	1398
159	265	1391
160	265	1384
161	266	1376
162	266	1369
163	267	1362
164	267	1355
165	268	1348
166	269	1341
167	269	1335
168	270	1329
169	270	1322
170	271	1316
171	272	1309
172	272	1304
173	273	1298
174	274	1292
175	274	1286
176	275	1279
177	275	1273
178	276	1267
179	276	1261
180	277	1254
181	277	1248
182	278	1243
